date,mean_score,median_score,std_dev,count
2022-02-24,2.36,2.0,1.87,78
2022-02-25,2.08,2.0,1.6,63
2022-02-26,2.71,2.0,2.49,73
2022-02-27,2.31,2.0,2.18,67
2022-02-28,2.08,2.0,1.79,63
2022-03-01,2.29,2.0,1.49,65
2022-03-02,2.0,2.0,2.08,60
2022-03-03,2.84,2.0,2.44,63
2022-03-04,2.14,2.0,1.72,73
2022-03-05,2.13,2.0,1.76,55
2022-03-06,1.82,2.0,1.56,49
2022-03-07,2.51,2.0,1.92,51
2022-03-08,2.35,2.0,1.82,49
2022-03-09,2.85,2.5,2.16,54
2022-03-10,2.22,2.0,1.98,60
2022-03-11,2.14,2.0,1.91,44
2022-03-12,2.87,3.0,2.14,54
2022-03-13,2.78,3.0,1.81,51
2022-03-14,2.33,2.0,1.86,45
2022-03-15,2.92,3.0,2.09,40
2022-03-16,1.81,2.0,1.29,54
2022-03-17,2.47,3.0,1.85,51
2022-03-18,2.5,3.0,1.93,52
2022-03-19,2.5,2.0,2.02,56
2022-03-20,2.8,3.0,2.26,55
2022-03-21,2.31,2.0,1.9,45
2022-03-22,2.88,2.5,1.61,48
2022-03-23,2.17,2.0,1.81,42
2022-03-24,1.76,2.0,1.64,46
2022-03-25,3.38,3.0,2.51,53
2022-03-26,2.67,3.0,2.01,46
2022-03-27,2.73,2.5,2.13,48
2022-03-28,1.28,1.0,1.4,32
2022-03-29,2.48,2.0,1.38,42
2022-03-30,2.33,2.0,1.42,39
2022-03-31,2.41,3.0,2.05,44
2022-04-01,2.61,2.0,1.99,54
2022-04-02,3.02,3.0,2.23,45
2022-04-03,3.2,2.0,2.73,46
2022-04-04,2.92,3.0,1.86,50
2022-04-05,3.14,3.0,2.31,37
2022-04-06,2.08,2.0,1.49,39
2022-04-07,3.0,3.0,2.23,42
2022-04-08,2.5,3.0,1.91,38
2022-04-09,2.02,2.0,1.57,52
2022-04-10,2.82,2.0,2.19,51
2022-04-11,3.68,3.0,2.24,44
2022-04-12,3.22,3.5,1.91,32
2022-04-13,3.18,3.0,2.6,49
2022-04-14,2.65,2.0,2.63,52
2022-04-15,2.69,3.0,1.88,42
2022-04-16,2.48,3.0,1.71,50
2022-04-17,3.25,3.0,2.06,48
2022-04-18,2.71,3.0,1.77,34
2022-04-19,2.89,3.0,2.0,36
2022-04-20,2.76,2.0,1.92,38
2022-04-21,2.51,2.0,1.57,41
2022-04-22,2.65,2.0,1.99,31
2022-04-23,1.83,1.0,1.58,35
2022-04-24,2.64,2.0,2.5,28
2022-04-25,3.44,3.0,2.4,50
2022-04-26,2.21,2.0,1.65,33
2022-04-27,3.71,3.0,2.55,35
2022-04-28,2.83,3.0,1.44,36
2022-04-29,2.08,2.0,1.96,37
2022-04-30,2.92,2.0,2.43,40
2022-05-01,2.63,2.0,1.87,38
2022-05-02,3.33,3.0,2.22,33
2022-05-03,2.89,3.0,1.91,37
2022-05-04,2.79,3.0,1.98,33
2022-05-05,3.06,3.0,1.72,36
2022-05-06,3.46,3.0,2.36,39
2022-05-07,2.33,2.0,2.2,40
2022-05-08,3.05,3.0,2.01,37
2022-05-09,3.16,3.0,2.14,32
2022-05-10,2.62,3.0,1.88,32
2022-05-11,2.91,3.0,1.56,34
2022-05-12,2.7,3.0,1.62,30
2022-05-13,2.17,2.0,2.02,35
2022-05-14,2.57,2.5,2.03,28
2022-05-15,2.65,3.0,1.47,31
2022-05-16,2.48,3.0,1.6,27
2022-05-17,2.5,2.0,1.9,26
2022-05-18,2.62,3.0,1.93,32
2022-05-19,2.64,2.0,1.73,25
2022-05-20,2.41,2.0,1.85,27
2022-05-21,2.62,2.0,2.1,34
2022-05-22,3.18,3.0,2.23,28
2022-05-23,2.79,3.0,1.72,24
2022-05-24,2.27,2.0,1.46,26
2022-05-25,3.04,3.0,1.66,23
2022-05-26,2.68,3.0,1.55,25
2022-05-27,3.43,3.0,1.72,21
2022-05-28,2.4,2.5,1.54,30
2022-05-29,2.56,3.0,1.33,43
2022-05-30,3.34,4.0,1.97,29
2022-05-31,2.97,3.0,2.32,36
2022-06-01,2.61,2.0,1.48,33
2022-06-02,2.16,2.0,1.68,31
2022-06-03,2.19,2.0,1.87,31
2022-06-04,3.83,3.5,2.34,30
2022-06-05,2.92,3.0,1.46,36
2022-06-06,2.68,2.0,1.74,28
2022-06-07,2.16,2.0,1.57,19
2022-06-08,3.33,3.0,2.33,18
2022-06-09,2.71,3.0,1.42,31
2022-06-10,2.22,2.0,1.87,27
2022-06-11,2.55,2.5,1.32,20
2022-06-12,3.37,3.0,1.94,30
2022-06-13,2.64,2.5,1.71,22
2022-06-14,3.57,4.0,1.89,30
2022-06-15,2.31,2.0,1.47,35
2022-06-16,1.79,2.0,1.34,33
2022-06-17,2.11,2.0,1.53,27
2022-06-18,2.62,2.5,2.11,32
2022-06-19,2.5,2.0,1.78,36
2022-06-20,1.91,2.0,1.44,22
2022-06-21,2.47,3.0,1.44,34
2022-06-22,2.76,2.0,1.88,25
2022-06-23,2.26,2.0,1.41,19
2022-06-24,3.79,3.0,2.45,43
2022-06-25,2.34,2.0,1.82,41
2022-06-26,3.21,3.0,1.84,29
2022-06-27,3.18,3.0,1.79,33
2022-06-28,3.37,3.0,1.73,30
2022-06-29,3.23,2.5,2.05,22
2022-06-30,2.94,3.0,1.91,31
2022-07-01,2.82,3.0,1.44,22
2022-07-02,3.41,4.0,1.94,41
2022-07-03,2.79,3.0,1.89,34
2022-07-04,3.0,3.0,1.56,20
2022-07-05,2.41,3.0,1.71,22
2022-07-06,2.74,3.0,1.59,31
2022-07-07,3.71,4.0,2.26,24
2022-07-08,3.14,3.0,2.14,22
2022-07-09,3.0,3.0,1.5,26
2022-07-10,2.7,3.0,1.86,30
2022-07-11,2.47,3.0,1.71,19
2022-07-12,1.76,1.0,1.79,25
2022-07-13,2.3,3.0,1.4,23
2022-07-14,3.23,3.0,1.85,22
2022-07-15,2.57,2.0,1.77,30
2022-07-16,2.68,2.0,1.73,37
2022-07-17,1.92,2.0,1.61,24
2022-07-18,3.71,4.0,2.25,34
2022-07-19,3.44,3.0,1.67,27
2022-07-20,2.15,2.0,1.72,33
2022-07-21,3.3,4.0,2.41,27
2022-07-22,3.47,3.5,1.76,34
2022-07-23,2.19,2.0,1.26,36
2022-07-24,1.87,2.0,1.69,23
2022-07-25,1.95,2.0,1.99,20
2022-07-26,2.46,2.0,1.98,13
2022-07-27,2.82,2.5,1.84,22
2022-07-28,2.43,2.0,1.89,30
2022-07-29,3.33,3.0,1.27,33
2022-07-30,3.76,4.0,1.59,25
2022-07-31,2.41,1.5,2.77,22
2022-08-01,3.4,3.0,2.7,20
2022-08-02,3.56,4.0,2.04,27
2022-08-03,2.16,2.0,2.15,25
2022-08-04,3.59,3.0,3.33,27
2022-08-05,5.14,5.0,2.91,29
2022-08-06,3.33,2.0,3.45,21
2022-08-07,4.13,4.0,2.49,31
