date,source,title
2022-02-24,usa-today,"Satellite images, surveillance footage, social media posts show the latest on the war in Ukraine"
2022-02-25,the-times-of-india,"Stuck in Ukraine, K'taka students running out of food"
2022-02-27,usa-today,KSW announces 'ethically justifiable' decision to cancel Russian fighter's bout amid invasion of Ukraine
2022-02-28,cbs-news,Ukrainian refugees flee to neighboring countries
2022-03-02,unknown,Why has the reaction to Putin’s Ukraine invasion been so strong? Part one: the lead-up
2022-03-03,unknown,'Hard not to assume the worst.' SLU soccer player calls father daily in Ukraine
2022-03-05,unknown,'Are We Your Slaves?' Imran Khan Slams West's Demands to Condemn Russia Over Spec Op in Ukraine
2022-03-07,unknown,"Live updates: Zelenskyy thanks US, UK for oil import ban"
2022-03-08,fox-news,Ukraine's 'cellar violinist' plays on as she shelters from bombs
2022-03-10,unknown,[Comment] Meeting the health challenges of displaced populations from Ukraine
2022-03-11,unknown,Russia intensifies strikes around Kyiv as it warns US against arming Ukraine - CNN
2022-03-13,unknown,Marine Corps intelligence officer discusses Russia-Ukraine war
2022-03-15,unknown,Live updates: Ukraine’s military says it hit Kherson airport
2022-03-16,unknown,"US citizen killed in Ukraine while waiting in bread line, family says"
2022-03-18,unknown,Syrians join Russian ranks in Ukraine as Putin calls in Assad's debt (Martin Chulov/The Guardian)
2022-03-19,unknown,"Japan's Kishida, India's Modi Discuss Response to Ukraine Crisis"
2022-03-21,unknown,The Threat of Russian Cyberattacks Looms Large
2022-03-22,unknown,Russia blocks Google News
2022-03-24,unknown,"Near the Ukrainian border, Biden sees refugee crisis in Poland"
2022-03-26,marca,Donation of millions of cryptocurrencies keeps Ukraine on its feet
2022-03-27,unknown,"Ukraine Says 5,000 Dead In ""Catastrophic"" Mariupol Siege"
2022-03-29,unknown,Cracks widen in eurozone economy as war in Ukraine rages on
2022-03-30,unknown,History Should Be Our Guide in Ukraine
2022-04-01,the-washington-post,Russia pulls back from battered Kyiv region in major shift of war to east
2022-04-03,unknown,"Good Afternoon, News: Old-Timey Audits vs. New-Timey Programs, Putin Busted for War Crimes, and US Snatches Another Oligarch Yacht"
2022-04-04,the-washington-post,"As Ukraine war drags on, Pentagon makes long-term plans for Europe"
2022-04-06,unknown,Zelenskyy ‘Florida Villa’ Rumor Goes Viral During War with Russia
2022-04-07,unknown,World cannot look away from Putin’s latest atrocity
2022-04-09,unknown,Ukrainian defenders dig in as Russia boosts firepower
