date,source,title
2/24/22,usa-today,"Satellite images, surveillance footage, social media posts show the latest on the war in Ukraine"
2/25/22,the-times-of-india,"Stuck in Ukraine, K'taka students running out of food"
2/27/22,usa-today,KSW announces 'ethically justifiable' decision to cancel Russian fighter's bout amid invasion of Ukraine
2/28/22,cbs-news,Ukrainian refugees flee to neighboring countries
3/2/22,unknown,Why has the reaction to Putin’s Ukraine invasion been so strong? Part one: the lead-up
3/3/22,unknown,'Hard not to assume the worst.' SLU soccer player calls father daily in Ukraine
3/5/22,unknown,'Are We Your Slaves?' Imran Khan Slams West's Demands to Condemn Russia Over Spec Op in Ukraine
3/7/22,unknown,"Live updates: Zelenskyy thanks US, UK for oil import ban"
3/8/22,fox-news,Ukraine's 'cellar violinist' plays on as she shelters from bombs
3/10/22,unknown,[Comment] Meeting the health challenges of displaced populations from Ukraine
3/11/22,unknown,Russia intensifies strikes around Kyiv as it warns US against arming Ukraine - CNN
3/13/22,unknown,Marine Corps intelligence officer discusses Russia-Ukraine war
3/15/22,unknown,Live updates: Ukraine’s military says it hit Kherson airport
3/16/22,unknown,"US citizen killed in Ukraine while waiting in bread line, family says"
3/18/22,unknown,Syrians join Russian ranks in Ukraine as Putin calls in Assad's debt (Martin Chulov/The Guardian)
3/19/22,unknown,"Japan's Kishida, India's Modi Discuss Response to Ukraine Crisis"
3/21/22,unknown,The Threat of Russian Cyberattacks Looms Large
3/22/22,unknown,Russia blocks Google News
3/24/22,unknown,"Near the Ukrainian border, Biden sees refugee crisis in Poland"
3/26/22,marca,Donation of millions of cryptocurrencies keeps Ukraine on its feet
3/27/22,unknown,"Ukraine Says 5,000 Dead In ""Catastrophic"" Mariupol Siege"
3/29/22,unknown,Cracks widen in eurozone economy as war in Ukraine rages on
3/30/22,unknown,History Should Be Our Guide in Ukraine
4/1/22,the-washington-post,Russia pulls back from battered Kyiv region in major shift of war to east
4/3/22,unknown,"Good Afternoon, News: Old-Timey Audits vs. New-Timey Programs, Putin Busted for War Crimes, and US Snatches Another Oligarch Yacht"
4/4/22,the-washington-post,"As Ukraine war drags on, Pentagon makes long-term plans for Europe"
4/6/22,unknown,Zelenskyy ‘Florida Villa’ Rumor Goes Viral During War with Russia
4/7/22,unknown,World cannot look away from Putin’s latest atrocity
4/9/22,unknown,Ukrainian defenders dig in as Russia boosts firepower
4/10/22,unknown,"Russia readies for major assault on eastern Ukraine, beginning 'second chapter' of war"
4/12/22,cbs-news,See how the U.S. is shipping javelins to Ukraine
4/14/22,bbc-news,The Papers: Rwanda plan 'will fail' and 'SAS train Kyiv forces'
4/15/22,breitbart-news,Polish Ambassador to U.S.: Zelensky Is ‘The Leader of the Free World Right Now’
4/17/22,fox-news,"‘A Real Signal That They Can Fight’, Gen. Keith Kellogg On Ukrainian Forces Sinking Russian Warship"
4/18/22,unknown,German wildlife park renames 'Putin' the boar
4/20/22,unknown,Live updates | Zelenskyy thanks US for $800M in military aid
4/22/22,unknown,Ukraine battered again; Zelenskyy says US officials to visit
4/23/22,unknown,Top U.S. officials meet Volodymyr Zelenskyy in show of solidarity with Ukraine
4/25/22,unknown,"Russia Cutting Gas To Poland, Bulgaria As Ukraine Tensions Deepen"
4/26/22,unknown,"Russia coordinating cyberattacks with military strikes in Ukraine, Microsoft says"
4/28/22,unknown,"Apparently Russia's war on Ukraine is good for business, it nearly doubled its fossil-fuel revenues [Interesting]"
4/30/22,cbs-news,Evacuation begins of Ukranians trapped at steel mill
5/1/22,unknown,"EU may offer Hungary, Slovakia exemptions from Russian oil embargo"
5/3/22,unknown,S&Ds: Ukrainian women fleeing the war must not fall into the hands of traffickers
5/4/22,unknown,Most Russian Black Sea Fleet warships are back in Sevastopol Bay
5/6/22,axios,Zelensky outlines Ukraine's peace-talk demands for Russia - Axios
5/7/22,unknown,'One man's war': U2 rock stars hit Putin in Kyiv bomb shelter
5/9/22,unknown,Live updates | US senators meet with Ukraine’s ambassador | #cybersecurity | #cyberattack | #cybersecurity | #infosecurity | #hacker
5/11/22,unknown,U.S. sanctions on Russia hurt Europe much more than Moscow
5/12/22,unknown,NATO Expansion in Focus as Blinken Travels to Europe for Talks on Russia-Ukraine War
5/14/22,cbs-news,Bellingcat's path to tracking Russia's invasion of Ukraine
5/15/22,unknown,S&Ds push for lifting import duties on Ukrainian products as act of solidarity
5/17/22,unknown,"Ukraine invasion could cause global food crisis, UN warns - BBC"
5/19/22,unknown,Biden must force feckless WHO to hold Russia accountable for devastating Ukraine’s health facilities
5/20/22,unknown,"Russia may swop Ukraine prisoners for Putin ally, says negotiator"
5/22/22,bbc-news,"Russian diplomat resigns, slams Putin’s invasion"
5/23/22,cbs-news,CBS News crew takes cover from Russian shelling
5/25/22,unknown,Ukraine's Zelensky complains about EU divisions over new Russia sanctions
5/26/22,unknown,"Ukrainian PM, German development minister discuss Ukraine's post-conflict recovery"
5/28/22,unknown,Second charter flight carrying Ukrainians bound for Canada lands in Montreal - Canada News - Castanet.net
5/30/22,unknown,"The EU Council is neglecting the impact of the Ukraine war for European citizens, says Iratxe García"
5/31/22,unknown,Soccer great Pelé urges Putin to stop war in Ukraine
6/2/22,unknown,How World Central Kitchen Makes Millions of Meals in Ukraine
6/3/22,unknown,Ukraine players gifted flag by soldiers ahead of Wales showdown
6/5/22,unknown,Russia’s Ancient T-62 Tanks Are On The Move In Ukraine
6/7/22,unknown,Kremlin Declares “Land Bridge” Complete From Western Russia To Donbas To Crimea
6/8/22,unknown,Russian Radio Station Hacked to Broadcast Ukrainian National Anthem
6/10/22,usa-today,Breakdown of $53B aid package to Ukraine
6/11/22,unknown,Pro-Russian Separatists Uphold Foreigners' Death Sentences
6/13/22,unknown,Zelensky Says Donbas Battle Will Determine Course Of War
6/15/22,unknown,"Europe offers Ukraine a hope of joining the EU, but not a vast arsenal"
6/16/22,unknown,Russian TV shows videos of 2 US vets captured in Ukraine
6/18/22,unknown,Russia claims Ukrainian generals killed in missile strike — as it happened
6/19/22,fox-news,Ben Stiller meets with Ukraine President Volodymyr Zelenskyy as a UNHCR Goodwill Ambassador
6/21/22,unknown,Russia-Ukraine war: Ukraine expects EU-wide support for candidacy to join bloc
6/22/22,unknown,President Authorizes Another $450 Million Drawdown to Support Ukraine
6/24/22,unknown,"Zelenskyy says Ukraine will win back lost cities, admits war is tough to bear"
6/26/22,unknown,At least 16 killed in missile strike on crowded Ukrainian mall
6/27/22,unknown,Macron says Russia can't win in Ukraine after strike on mall - CTV News
6/29/22,unknown,"Ukraine drives Russian forces from Snake Island, a setback for Moscow"
6/30/22,unknown,"Plans to Rebuild Ukraine Should Address Environment, EU Commissioner Says"
7/2/22,unknown,Russia Claims Control of Luhansk as Ukrainian Forces Retreat From Lysychansk - The Wall Street Journal
7/4/22,cbc-news,NHL teams weigh risks of selecting Russian prospects as war in Ukraine continues
7/5/22,unknown,Ukraine’s herculean task: helping millions whose homes are in ruins or Russia’s hands
7/7/22,unknown,"Jaishankar meets Lavrov, Blinken on sidelines of G-20, talks Ukraine"
7/8/22,unknown,Ukraine dismisses its ambassador to Germany after controversial remarks
7/10/22,the-washington-post,Russian strikes kill at least three in Kharkiv and injure dozens
7/11/22,unknown,White House accuses Iran of gifting 'several hundred' drones to Russia
7/13/22,unknown,Germany earmarks additional 2.4 billion eur this year for Ukraine refugee relief
7/15/22,the-washington-times,Cargo plane operated by Ukraine carrier crashes in Greece
7/16/22,unknown,"Ukraine’s, Moldova’s EU Candidate Status Part of Anti-Russian ‘Gambit’"
7/18/22,nbc-news,White House says Russia is plotting to annex more Ukrainian territory
7/19/22,unknown,Ukrainian Refugees Forced to Escape to Enemy Soil in Russia
7/21/22,unknown,Deal between Ukraine and Russia aims to ease global food crisis
7/23/22,unknown,Moldova’s Prime Minister Is ‘Very Worried’ About a Potential Russian Invasion
7/24/22,unknown,"Guatemala’s president visits Ukraine, expresses solidarity"
7/26/22,unknown,Biden Offers To Exchange Convicted Russian Arms Dealer For The Release Of Brittney Griner
7/27/22,the-times-of-india,A new bench of traders muscle in to supply Russian oil to India
7/29/22,unknown,"Russia Invites UN, Red Cross To Probe Jail Deaths Of Ukrainian Prisoners"
7/31/22,bloomberg,Hope for Ukraine grain exports and Europe sizzles: Supply lines
8/1/22,cbs-news,Ex-Laker puts NBA championship rings up for auction to help Ukraine
8/3/22,unknown,"Canada capitulated to ‘blackmail’ by sending gas turbines for Russia’s use, Ukrainian reps tell MPs"
8/4/22,unknown,Ukrainian soldiers come to Minnesota for prosthetics — and hope
8/6/22,unknown,"Ukraine power plant shelled again, Zelenskyy rails at Russian 'nuclear terror'"
8/7/22,unknown,War brings desperation and danger to Ukraine's farmers — and the world feels the pain
8/9/22,fox-news,"China touts relationship with Russia, accuses US of being 'main instigator of the Ukrainian crisis'"
8/11/22,unknown,Vessel to collect first humanitarian wheat shipment under Ukraine grain deal
8/12/22,unknown,Russia blocking access to medicines - Ukraine's health minister
8/14/22,cbc-news,"Value of frozen Russian assets, transactions rose by less than $1M after 2 more months of sanctions"
8/15/22,newsweek,Zelensky Reveals Why He Didn't Warn His Citizens of Russian Invasion
8/17/22,newsweek,Russia's 'Bad Strategy' Leading to Embarrassing Defeats: Admiral Stavridis
8/19/22,unknown,US Open tennis stars set to raise relief funds for Ukraine
8/20/22,unknown,Zelensky warns Russia might put Ukraine soldiers on trial as Kyiv marks independence
8/22/22,the-irish-times,The Irish Times view on the Ukraine war: preparing for a long winter
8/23/22,time,U.S. Goes in for the Long-Haul With Latest Ukraine War Aid
8/25/22,unknown,Zelensky calls for ‘international pressure’ to take back Ukrainian nuclear plant
8/26/22,unknown,"Slovakia's neighbors to patrol its skies, freeing MiG jets for Ukraine"
8/28/22,unknown,Russia struggles to recruit soldiers for Ukraine: Pentagon
8/30/22,unknown,"News Wrap: FDA authorizes omicron boosters, inspectors head to Ukraine nuclear plant"
8/31/22,unknown,[Correspondence] Conflict-related sexual violence in Ukraine: insight from the field
9/2/22,next-big-future,Ukraine Needs to Take Kherson by end of October
9/3/22,unknown,"Zelenskiy says Ukraine takes three settlements in south, east"
9/5/22,unknown,"Russia sanctions 25 more Americans, including Sean Penn, Ben Stiller"
9/7/22,unknown,Russia and US clash over Western weapons for Ukraine
9/8/22,unknown,"Russian Army suffered heavy losses, Ukrainian Army recaptured more than 1,000 sq km of land & 20 Villages"
9/10/22,unknown,Russia weaponizes nuclear plant
9/11/22,unknown,"Ukraine reclaims more territory, reports capturing many POWs"
9/13/22,cbs-news,Zelenskyy makes surprise visit to recaptured towns
9/15/22,unknown,"Friday, September 16. Russia’s War On Ukraine: News And Information From Ukraine"
9/16/22,cbs-news,EU head calls for war crimes tribunal over mass graves in Ukraine
9/18/22,unknown,Russian pop star's war criticism stirs vigorous debate
9/19/22,unknown,"At UN, Spotlight on Global Consequences of Russia’s War"
9/21/22,unknown,N.Korea Denies Selling Weapons to Russia
9/22/22,bbc-news,Undercover with Russia’s fake arms dealers
9/24/22,unknown,"Lyman, A Supply Hub In Eastern Ukraine, Is The Last Place A Russian Soldier Wants To Be Right Now"
9/26/22,unknown,"Trump warns of possible World War III over Ukraine, Taiwan"
9/27/22,unknown,The U.S. and Europe are running out of weapons to send to Ukraine
9/29/22,unknown,Ukraine - Four Oblasts Join Russia
9/30/22,unknown,"German Defense Minister Visits Odesa, Promises Delivery Of Air-Defense System"
10/2/22,unknown,Superyacht linked to sanctioned Russian billionaire on sale for $41m
10/4/22,unknown,Should the West seek an off-ramp in Ukraine?
10/5/22,unknown,Ukraine regains 150 miles of land in expanding counteroffensive; Russia blames NATO for nuclear rhetoric: Live updates - USA TODAY
10/7/22,unknown,IAEA says creating a nuclear safety zone around Ukrainian power plant is 'urgent imperative' - Insider
10/8/22,unknown,"Putin Blames Ukraine For Crimea Bridge Blast, Calls It A ""Terrorist Act"""
10/10/22,business-insider,Russia is scraping the bottom of the manpower barrel in order to hold off Ukraine's advance
10/11/22,unknown,"SHOCKER: 90,000 'Irrecoverable' Russian Losses in Ukraine"
10/13/22,unknown,Elon Musk: SpaceX can't fund Ukraine's vital Starlink internet indefinitely
10/15/22,rt,Losing is not an option for Putin – ex-Austrian leader
10/16/22,unknown,Exxon fully withdraws from Russia after Putin seizes assets
10/18/22,unknown,Russians who fled to avoid fighting in Ukraine reflect on their new lives
10/19/22,unknown,"Iranian trainers on the ground helped Russia with Ukraine drone attacks, U.S. says"
10/21/22,unknown,Ukraine plane engine builder head held on treason charges – media
10/23/22,unknown,Ukraine’s ‘Marshall Plan’ – Berlin gathering weighs $750 billion rebuilding
10/24/22,unknown,"Three inquiries, but no answers to who blew holes in Nord Stream pipelines"
10/26/22,fox-news,Putin accuses US of escalating tensions
10/27/22,unknown,Russia's Putin says he won't use nuclear weapons in Ukraine - KSL.com
10/29/22,unknown,'Weaponizing food': Outrage grows over Russia's suspension of grain deal with Ukraine. Live updates. - USA TODAY
10/31/22,unknown,Pentagon says U.S. troops on the ground in Ukraine
11/1/22,unknown,"Wednesday, November 2. Russia’s War On Ukraine: News And Information From Ukraine"
11/3/22,unknown,China opposes Russia using nuclear weapons against Ukraine
11/4/22,unknown,"Iran admits sending drones to Russia, but Kyiv says Tehran is still lying"
11/6/22,the-washington-post,Russia's heavy casualties in Ukraine spark outcry and rare official response
11/7/22,unknown,"1,300 of Ukrainian military's SpaceX Starlink terminals went offline due to funding shortfall: report"
11/9/22,unknown,"Ukrainian forces cautiously advance into Kherson, fearing a trap as Russian troops retreat"
11/11/22,cbc-news,Banksy unveils mural in war-scarred Ukrainian town
11/12/22,rt,Scholz hopes Putin will change his mind on attending G20
11/14/22,unknown,"White House requests $37.7 billion in new Ukraine funding, $10 billion for Covid relief"
11/15/22,unknown,West criticizes Russia at U.N. for Ukraine war after missile crash in Poland
11/17/22,unknown,Putin’s ‘Hunky-Dory’ Act Flops as Frantic Russians Flee Crimea
11/19/22,unknown,Explosions Shake Ukraine's Zaporizhzhia Nuclear Power Plant
11/20/22,unknown,Iran And Russia Reportedly Ink Drone Production Deal For Ukraine War
11/22/22,unknown,"Russia Says It Has Faith In ""Success"" Of Ukraine Offensive"
11/23/22,unknown,Europe has labelled Russia a state sponsor of terror. What next? - Al Jazeera English
11/25/22,abc-news-au,Why the West's 'weak' response to a forgotten war 'emboldened' Putin in Ukraine
11/26/22,unknown,Putin’s war empties arsenal of 20 NATO nations after U.S.
11/28/22,unknown,Ukraine urges Nato to speed up weapons deliveries following Russian strikes on energy grid
11/30/22,unknown,Biden Willing to Talk to Putin About Ukraine
12/1/22,unknown,Group try to steal Banksy mural from wall in battle-scarred Ukrainian town
12/3/22,unknown,U.S. intel chief thinking 'optimistically' for Ukraine forces
12/4/22,the-washington-post,Explosions hit two bases in Russia as Moscow fires new missile barrage
12/6/22,unknown,Zelenskyy predicts ‘peacetime’ next year as Putin warns war will be ‘long process’
12/8/22,unknown,Commentary: Four fronts in Ukraine-Russia war to look out for as winter bites
12/9/22,unknown,Turkey oil tanker logjam snarls Russia oil sanctions
12/11/22,unknown,Ukraine again presses West for advanced weapons
12/12/22,unknown,U.S. Eyes Giving Ukraine Patriot Missile Defense Systems
12/14/22,unknown,Exploding Gift From Ukraine Injures Poland's Police Chief
12/16/22,unknown,Russia launches another widespread missile attack on Ukraine - Al Jazeera English
12/17/22,the-washington-post,Pussy Riot Has Been Sounding The Alarm About Putin For More Than A Decade
12/19/22,unknown,Zelensky Planning Surprise D.C. Visit To Address Congress
12/20/22,cbs-news,Special Report: Biden and Zelenskyy hold joint press conference on war in Ukraine
12/22/22,unknown,Bosnian Children Send Gifts to Ukrainian Children
12/23/22,unknown,"Associated Press: Shells pummel Ukraine’s Kherson; 10 dead, 55 wounded"
12/25/22,unknown,Ukraine’s Zelenskiy: Situation at the front is “difficult and painful”
12/27/22,unknown,News Wrap: Zelenskyy tells Ukrainians their resistance to Russia inspires the world
12/28/22,unknown,Russia 'Struggling to Counter Air Threats' on Its Own Territory: U.K
12/30/22,unknown,"BREAKING: Explosions reported in Kursk, Belgorod, Voronezh and Rostov moments ago."
12/31/22,al-jazeera-english,Renewed Russian attacks mark Ukraine’s grim start to 2023
1/2/23,cbc-news,Hiring agency for displaced Ukrainians born from Manitoba businessman's staffing needs
1/4/23,unknown,Russian war crimes must be judged
1/5/23,unknown,Vladimir Putin Orders Children As Young As Four To March In Military Uniforms In Desperate Bid To Drum Up Support For Ukraine War
1/7/23,unknown,Ukraine rejects Russian claim of devastating 'retaliatory strike'
1/8/23,unknown,Russia launches criminal probes of prominent Kremlin critics
1/10/23,fortune,Falling Russian fossil fuel revenues could deal a lethal blow to Putin's war machine
1/11/23,unknown,War in Ukraine: Now for the good news ...
1/13/23,unknown,"Wave of Russian attacks target Ukraine civilians, power grid"
