date,source,title,score
2022-02-24,usa-today,"Satellite images, surveillance footage, social media posts show the latest on the war in Ukraine",
2022-02-24,fox-news,Sen. Braun: Biden must enact 'painful' sanctions on Putin to end Ukraine invasion: 'Cat's out of the bag',
2022-02-24,unknown,Sen. Braun: Biden must enact 'painful' sanctions on Putin to end Ukraine invasion: 'Cat's out of the bag',
2022-02-24,unknown,Ukraine: Zelenskyy says Russia ready to 'storm' Kyiv — live updates,
2022-02-24,unknown,Ukraine: Zelenskyy says Russia to 'storm' Kyiv — live updates,
2022-02-24,unknown,Wylew gniewu w Gruzji z powodu bezczynności rządu wobec Ukrainy,
2022-02-24,unknown,Australia seeks to join global move to hit Putin with sanctions,
2022-02-24,cbs-news,U.S. sanctions Putin over Ukraine invasion,
2022-02-24,unknown,White House denies reports that it is considering cyberattacks on Russian infrastructure,
2022-02-24,cbs-news,"Russia will soon try to storm Kyiv, Ukrainian president says",
2022-02-24,unknown,Russia Vetoes U.N. Resolution Demanding Troop Withdrawal From Ukraine,
2022-02-24,business-insider,Russian citizens take to the streets for a 2nd night as the country aims to quash resistance to its Ukrainian invasion,
2022-02-24,unknown,Shields Up: 10 Proactive Steps Employers Can Take to Prevent Russian Cybersecurity Attacks,
2022-02-24,the-hill,Zelensky warns Russia will 'assault' Kyiv tonight,
2022-02-24,the-hill,Hillicon Valley — Russia restricts Facebook access,
2022-02-24,unknown,Russia begins assault on Kyiv amid fierce fighting across Ukraine as U.S. sanctions Putin,
2022-02-24,unknown,"U.S. will sanction Putin, Lavrov and other Russian officials - POLITICO",
2022-02-24,unknown,"Zelensky says Russia to storm Kyiv tonight: ""We have to stand our ground"" (Axios)",
2022-02-24,unknown,Government of Canada pledges to match donations for Ukraine,
2022-02-24,unknown,"Ted Cruz says Russia is invading Ukraine because of Biden's ""enormous"" mistakes - CBS News",
2022-02-24,unknown,Judge warns of US divisions and cites Russia's attack on Ukraine while sentencing Capitol riot defendant - CNN,
2022-02-24,unknown,"Russia vetoes U.N. Security action on Ukraine, China abstains - Reuters",
2022-02-24,unknown,Russian Invasion of Ukraine Could Send Shockwaves Through US Economy,
2022-02-24,unknown,"""Punish Russia"": Wave Of Sanctions Against Moscow Over Ukraine Invasion",
2022-02-24,the-verge,Mobile World Congress organizers will ban some Russian firms from the show,
2022-02-24,unknown,US Sanctions Russian President Vladimir Putin,
2022-02-24,unknown,"""It Is A Full Invasion Of Ukraine"": NATO Deploys Response Force",
2022-02-24,unknown,'The Ghost Of Kyiv' Is The First Urban Legend Of Russia's Invasion Of Ukraine,
2022-02-24,cnn,"Russian NHL star player Alex Ovechkin says, 'Please, no more war'",
2022-02-24,abc-news-au,"Russian invasion drives up energy costs, and Australians won't be immune from the fallout",
2022-02-24,time,"Even If Russia Wins, It Won’t Do So Easily",
2022-02-24,unknown,NATO Secretary General Stoltenberg on the war in Ukraine: 'Russia has to pay a high price',
2022-02-24,unknown,"US, Europe step up Russia sanctions to target Putin directly",
2022-02-24,unknown,Eric Swalwell floats kicking Russians out of US universities in retaliation to Putin invading Ukraine (Hannah Grossman/Fox News),
2022-02-24,usa-today,Russia's invasion of Ukraine is driving gas prices even higher. How to save money from your smartphone.,
