date,source,title,score
2023-09-04,unknown,Report: Ukraine Paid $17.6 Million for Faulty Drones,2
2022-04-30,abc-news-au,Go inside the civilian evacuation of Mariupol's besieged Azovstal steel plant,0
2022-08-17,unknown,Ukraine war: Damage to nuclear plant would be suicide - UN chief - BBC,5
2024-09-24,unknown,"US Prepares $8 Billion in Arms Aid Packages for Zelenskiy Visit, Sources Say",5
2024-03-27,unknown,Jailed WSJ reporter Evan Gershkovich marks one year detained in Russia,0
2024-01-11,unknown,Journalist Gonzalo Lira Reported Dead In Ukrainian Custody According To Father,6
2023-04-15,unknown,Russian President Vladimir Putin Confesses He Is Facing 'Serious Challenges' One Year After Invading Ukraine,2
2024-12-06,unknown,World War 3 Avoided? Trump and Emmanuel Macron Meet President Zelensky for Crunch Talks in Paris After Don's 'Peace Plan' Unveiled and Mad Vlad's Nuclear Threats,5
2024-12-30,unknown,"Russian missile and drone attack on Ukraine hits multiple targets, including Kyiv",7
2022-11-23,unknown,Ukraine war: Ukraine struggles to restore power after Russian strikes - BBC,3
2023-03-30,unknown,New Rules Limit Media’s Ability to Cover Ukraine War,2
2025-02-18,unknown,"Trump, Zelensky Escalate War of Words Over Russia",5
2024-11-07,unknown,Ukrainian Soldiers Say Trump's Peace Push Could Come With a Huge Cost,3
2023-06-07,unknown,"Ukraine is kicking off its big offensive armed with powerful Western tanks and weapons, but breaking Russian lines may be anything but easy",6
2025-03-11,unknown,Trump Hopes He Won't Have to Pressure Putin to Accept Truce,2
2025-01-20,the-times-of-india,Don Jr. calls Zelenskyy a 'weirdo'; war expert Anthony Glees says Donald Trump will humiliate the Ukrainian president before brokering peace,3
2023-02-01,unknown,How Wagner Mercenaries Fighting in Africa Could Swing the Battle of Bakhmut,3
2024-08-23,unknown,Ukraine marks 33rd Independence anniversary as war against Russia rages - NBC News,0
2023-06-28,unknown,"Russians Opinion Of Vladimir Putin, Country Remain Unchanged After Wagner Group Coup",0
