source,mean_score,count,std_dev
news-com-au,5.56,9,2.6
new-york-magazine,4.73,15,2.58
spiegel-online,4.0,1,
newsweek,3.93,1039,2.12
next-big-future,3.89,9,2.15
the-washington-times,3.75,61,1.99
business-insider,3.67,540,1.79
time,3.62,42,2.41
australian-financial-review,3.58,45,2.39
google-news,3.46,497,2.04
politico,3.43,106,1.84
abc-news-au,3.42,376,2.11
the-washington-post,3.41,250,2.0
news24,3.39,18,2.33
axios,3.39,33,2.05
al-jazeera-english,3.38,290,1.86
the-wall-street-journal,3.33,24,2.68
cnn,3.29,177,1.89
ars-technica,3.27,11,1.56
the-hill,3.2,114,2.04
unknown,3.16,31372,2.06
rt,3.07,1967,1.81
abc-news,3.05,435,2.08
fortune,3.04,48,2.13
fox-news,3.03,502,2.11
the-globe-and-mail,3.03,30,1.71
the-jerusalem-post,3.03,263,2.09
cbs-news,3.02,734,2.16
techcrunch,3.0,6,0.89
new-scientist,3.0,2,1.41
the-times-of-india,3.0,494,2.03
wired,3.0,3,3.61
buzzfeed,3.0,1,
breitbart-news,2.99,368,1.85
associated-press,2.84,107,1.93
usa-today,2.75,69,1.92
bbc-news,2.69,631,1.92
msnbc,2.64,28,1.68
nbc-news,2.62,130,1.81
the-irish-times,2.55,278,1.88
financial-post,2.55,96,1.81
the-american-conservative,2.48,21,1.91
cbc-news,2.43,242,2.07
bloomberg,2.41,101,1.9
polygon,2.33,3,2.52
the-verge,2.17,6,0.98
techradar,2.0,2,0.0
the-next-web,2.0,1,
info-money,2.0,1,
la-repubblica,2.0,1,
national-review,2.0,1,
marca,1.92,37,2.43
ansa,1.6,5,2.3
fox-sports,1.5,2,0.71
bleacher-report,1.33,3,1.15
espn,1.25,16,1.44
four-four-two,1.0,1,
vice-news,1.0,3,1.0
football-italia,0.0,1,
